Date,High,Low,Open,Close,Volume,Adj Close
1994-11-16,16.25,16.0,16.1299991607666,16.25,4500.0,16.25
1994-11-17,16.375,16.0,16.25,16.375,9200.0,16.375
1994-11-18,16.5,16.25,16.3799991607666,16.25,10200.0,16.25
1994-11-21,16.625,16.25,16.3799991607666,16.25,18100.0,16.25
1994-11-22,16.25,15.625,16.25,15.625,10900.0,15.625
1994-11-23,15.75,15.5,15.630000114440918,15.625,13200.0,15.625
1994-11-25,15.875,15.625,15.875,15.75,2300.0,15.75
1994-11-28,16.125,15.625,16.0,15.75,18100.0,15.75
1994-11-29,16.0,15.5,15.75,16.0,7400.0,16.0
1994-11-30,16.0,15.75,15.75,16.0,10100.0,16.0
1994-12-01,15.875,15.625,15.875,15.625,10300.0,15.625
1994-12-02,15.625,15.375,15.625,15.375,21300.0,15.375
1994-12-05,15.625,15.25,15.25,15.625,41900.0,15.625
1994-12-06,15.375,15.0,15.375,15.0,28600.0,15.0
1994-12-07,15.0,14.5,15.0,15.0,19100.0,15.0
1994-12-08,15.0,14.75,14.75,14.75,7100.0,14.75
1994-12-09,14.875,14.5,14.630000114440918,14.875,7200.0,14.875
1994-12-12,14.625,14.375,14.625,14.375,7500.0,14.375
1994-12-13,14.625,14.0,14.5,14.5,301800.0,14.5
1994-12-14,14.75,14.125,14.5,14.375,26100.0,14.375
1994-12-15,14.875,14.375,14.380000114440918,14.375,25800.0,14.375
1994-12-16,14.375,14.125,14.375,14.125,20200.0,14.125
1994-12-19,14.375,13.375,14.375,13.5,94300.0,13.5
1994-12-20,13.625,13.25,13.5,13.25,27100.0,13.25
1994-12-21,13.125,12.875,13.0,13.0,136800.0,13.0
1994-12-22,13.5,13.0,13.0,13.125,115900.0,13.125
1994-12-23,13.375,13.0,13.25,13.125,78300.0,13.125
1994-12-27,13.375,13.0,13.375,13.0,26700.0,13.0
1994-12-28,13.125,12.5,13.125,12.875,46700.0,12.875
1994-12-29,13.125,12.625,12.880000114440918,12.75,21400.0,12.75
1994-12-30,13.625,12.625,12.630000114440918,13.625,63500.0,13.625
1995-01-03,14.125,13.75,13.75,13.875,96500.0,13.875
1995-01-04,14.0,13.875,13.880000114440918,14.0,51200.0,14.0
1995-01-05,13.875,13.625,13.875,13.625,46100.0,13.625
1995-01-06,13.75,13.375,13.75,13.375,27700.0,13.375
1995-01-09,13.375,13.25,13.25,13.25,36400.0,13.25
